tweet,date,city,user_location,id,link
"En la etapa cuatro, que termina en Sestela, se empezará a ver quiénes son los más fuertes en el pelotón. Le contamos quiénes son los favoritos 👇
https://t.co/JePJVvwiwy",2021-05-11 09:00:00,Medellín,Medellín,1392041791747067904,https://twitter.com/i/web/status/1392041791747067904
"🚴‍♀️¡La fuga se consolidó y pudo llegar a puerto! ¿Cómo se crea una fuga perfecta? En #TeleantioquiaDeportes analizamos la tercera etapa del Giro de Italia 🇮🇹con especial énfasis en este tema, porque Van der Hoorn sí que emocionó. ➡️https://t.co/X97xy1fB41 https://t.co/0dgt1BFDBj",2021-05-11 01:09:44,Medellín,"Antioquia, Colombia",1391923442392477696,https://twitter.com/i/web/status/1391923442392477696
"Taco Van Der Hoorn se metió en la fuga que era y su historia cambió. Lo que pasó en la etapa 4 del Giro de Italia, a mi estilo, en: 
https://t.co/2HgGPE0A6z",2021-05-10 20:58:23,Medellín,Medellín,1391860189427552258,https://twitter.com/i/web/status/1391860189427552258
"DANIEL MARTÍNEZ quedó a 39 segundos del líder FILIPO GANNA en el Giro de Italia. EGAN Bernal está a 42”, mientras FERNANDO GAVIRIA y HÁROLD TEJADA se distancian 44”.",2021-05-10 20:48:13,Medellín,"Medellín, Colombia",1391857631682338818,https://twitter.com/i/web/status/1391857631682338818
"Se corrió la tercera etapa del Giro de Italia y en Hora 13 Noticias tenemos el análisis de lo ocurrido en este importante evento ciclístico. El antioqueño Fernando Gaviria no puedo ganar, fue séptimo en la etapa.https://t.co/6c1PTjOzDu",2021-05-10 19:37:04,Medellín,Medellín,1391839727574257664,https://twitter.com/i/web/status/1391839727574257664
Giro de Italia EN VIVO etapa 4: transmisión en directo online entre Piacenza y Sestola https://t.co/sdhsWy3W49 https://t.co/5oeHDYRpJ6,2021-05-10 19:05:17,Medellín,"Medellín, Colombia",1391831728898117635,https://twitter.com/i/web/status/1391831728898117635
"#Giro104 🇮🇹
Taco Van Der Hoorn ganó la tercera etapa del Giro de Italia. 
🇨🇴 7. Fernando Gaviria. 
🇨🇴 27. Egan Bernal. 
#WbeimarLoDice https://t.co/f8zyMTfTae",2021-05-10 16:24:42,Medellín,"Medellín, Colombia",1391791316724592642,https://twitter.com/i/web/status/1391791316724592642
"#Giro104 🇮🇹
Taco Van Der Hoorn ganó la tercera etapa del Giro de Italia. 
🇨🇴 7. Fernando Gaviria. 
🇨🇴 27. Egan Bernal. 
#WbeimarLoDice https://t.co/TUxt5K11ri",2021-05-10 16:20:45,Medellín,"MEDELLÍN, COLOMBIA",1391790322879959047,https://twitter.com/i/web/status/1391790322879959047
"#Giro 🇮🇹 ¡La fuga celebra! Taco van der Hoorm se lleva la etapa 3. 

El corredor del Intermaché Wanty-Gobert Matériaux cumplió el sueño de la victoria de etapa en su primera participación en una Gran Vuelta. 

📸 Giro de Italia Oficial https://t.co/1GZEyV65rg",2021-05-10 16:11:18,Medellín,"Medellín, Colombia",1391787941769453569,https://twitter.com/i/web/status/1391787941769453569
Etapa 3 Giro de Italia EN VIVO: transmisión en directo online entre Biella y Canale https://t.co/cwtMlKKd5q https://t.co/Ce1GrdC3K9,2021-05-10 12:05:15,Medellín,"Medellín, Colombia",1391726022358351876,https://twitter.com/i/web/status/1391726022358351876
"Giro de Italia 2021 | Egan Bernal confiesa su mayor “miedito” en la carrera italiana #Giro #GiroDitalia2021 #MagliaRosa #GiroDitalia #EganBernal
 https://t.co/0eRMng01tc",2021-05-12 14:19:16,Cali,Colombia,1392484525003915264,https://twitter.com/i/web/status/1392484525003915264
"🏆🚴‍♂️💖@Elite_cycling¡rinde homenaje a los grandes campeones del Giro de Italia con la icónica botella Fly Giro! ¡The Fly es la botella más ligera del mundo con su peso de 54 g!

#Giro| @YajuegoCo| #BandaDeportiva https://t.co/caBaoaKvNP",2021-05-12 14:14:12,Cali,"Cali, Colombia",1392483248941457418,https://twitter.com/i/web/status/1392483248941457418
"Pasó la prueba en la montaña

#CICLISMOxESPN Egan Bernal subió al puesto 11 en la general del Giro de Italia. #GIROxESPN

https://t.co/8GF4pxEMmv",2021-05-12 14:11:48,Cali,Colombia,1392482644378722318,https://twitter.com/i/web/status/1392482644378722318
"Ya estamos EN VIVO por nuestra pantalla principal con la etapa 5 de #ElGiroPorCaracol 🚴‍♀️

Los velocistas tienen un nuevo round y usted no se lo puede perder. Conéctese a nuestras plataformas &gt;&gt;&gt; https://t.co/bev6hsV4uJ https://t.co/FQCjEZF5b2",2021-05-12 14:10:00,Cali,Colombia,1392482191783829507,https://twitter.com/i/web/status/1392482191783829507
"💗 Giro de Italia 2021 - Etapa 5 ⃣
📌 Faenza - km 87
🚴‍♂️ Grupo compacto 🚴‍♂️
💻 En vivo:https://t.co/SbPaTVzmfs
🏁 90 kilometros
💰 Apuesta en @YajuegoCo 
#Giro| #BandaDeportiva https://t.co/MyTLHgtUi1",2021-05-12 14:09:05,Cali,"Cali, Colombia",1392481963274027008,https://twitter.com/i/web/status/1392481963274027008
Giro de Italia 2021: recorrido y altimetría de la etapa 6; empieza la alta montaña https://t.co/W837vO7euE,2021-05-12 14:05:01,Cali,Colombia,1392480937661935616,https://twitter.com/i/web/status/1392480937661935616
El colombiano Fernando Gaviria (@FndoGaviria) es uno de los grandes favoritos para quedarse con la etapa 5 del Giro de Italia y tratará de hacerlo después de que en la segunda etapa tuviera un incidente con su compañero Sebastián Molano. https://t.co/004NThs9eY https://t.co/PTzNB5qtBx,2021-05-12 14:01:37,Cali,Colombia,1392480085043781633,https://twitter.com/i/web/status/1392480085043781633
"¡Ya se corre el @giroditalia! Y en @SenalDeportes te mostramos la altimetría de la prueba de hoy que puede ser para el colombiano 🇨🇴 @FndoGaviria 👇👇👇https://t.co/RYA4JT9AaG

#ElMundoRuedaXSeñal https://t.co/aRoeS5jyQj",2021-05-12 13:23:42,Cali,Colombia,1392470541253152774,https://twitter.com/i/web/status/1392470541253152774
"Giro de Italia 2021 | Etapa 5: ¿cuáles son los rivales de Fernando Gaviria?

#Giro #GiroDitalia2021 #MagliaRosa #GiroDitalia #SemanaEnLaRuta https://t.co/MeumLV13Eb",2021-05-12 13:13:26,Cali,Colombia,1392467957566087176,https://twitter.com/i/web/status/1392467957566087176
#ElGiroPorCaracol l Giro de Italia minuto a minuto: siga la actuación de los colombianos en la etapa 5 https://t.co/6Wcqb3Vmfv,2021-05-12 13:11:01,Cali,Colombia,1392467349622509573,https://twitter.com/i/web/status/1392467349622509573
"🚵‍♂️🇮🇹 ¡Estamos al aire con la transmisión de la Etapa 5 del Giro de Italia!

📻 Viva todas las emociones de la carrera junto a nosotros.

#GiroXCaracol 

https://t.co/cpqtDY4TAe",2021-05-12 13:04:36,Cali,Colombia,1392465734454943747,https://twitter.com/i/web/status/1392465734454943747
